feature_set,preprocess,k,layer_id,layer_name,variable,variable_label,test,statistic,df,p_value,effect_size,cluster_stats,is_sig_with_effect,score_included
enhanced,robust,2,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,38.339310220166475,1,5.945287037276281e-10,0.05666056179084442,C1=3.105|C2=3.911,1,0
enhanced,robust,2,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,0.0821308985132514,1,0.7744301862687746,0.019365612147579096,C1=0.564|C2=0.539,0,1
enhanced,robust,2,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,0.12132003798670472,1,0.7276071885294408,0.023536626270453432,C1=0.359|C2=0.389,0,1
enhanced,robust,2,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,1.0635050167224076,1,0.30241713111119833,0.06968634938759453,C1=0.385|C2=0.300,0,1
enhanced,robust,2,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,19.94718982013511,1,7.961087960349085e-06,0.08731423880246596,C1=2.872|C2=3.906,1,0
enhanced,robust,2,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,18.36488843979081,1,1.8238816192988176e-05,0.08002252737230789,C1=3.000|C2=3.850,1,0
enhanced,robust,3,all,全样本对照,C090,到访意愿,kruskal_epsilon2,70.24869866081261,2,5.567867675080793e-16,0.07782063701346933,C1=3.023|C2=3.608|C3=3.937,1,1
enhanced,robust,3,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,55.28952995124418,2,9.863501559406833e-13,0.06076343209948025,C1=3.068|C2=3.757|C3=3.908,1,1
enhanced,robust,3,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,3.3719759864846797,2,0.1852613045895654,0.07142356224876774,C1=0.748|C2=0.702|C3=0.667,0,1
enhanced,robust,3,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,4.488687032543506,2,0.10599710291101251,0.08240601883544597,C1=0.331|C2=0.368|C3=0.428,0,1
enhanced,robust,3,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,6.018683519810903,2,0.04932413520064313,0.09542233156492927,C1=0.633|C2=0.596|C3=0.520,1,1
enhanced,robust,3,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,4.945762816603571,2,0.08434148628310172,0.08649996123059804,C1=0.698|C2=0.649|C3=0.596,0,1
enhanced,robust,3,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,49.12025469463006,2,2.1561164758129224e-11,0.071611329323146,C1=3.058|C2=3.719|C3=3.929,1,0
