respondent_id,visit_group,visit_depth_bin,attention_flag,logic_flag,cluster_label,perception_mean,importance_mean,performance_mean,cognition_mean,motive_count,new_project_pref_count,promo_pref_count
363,1,0,1,0,2,3.538462,4.200000,3.800000,4.250000,4,3,2
364,1,0,1,0,2,4.153846,3.800000,4.400000,3.750000,3,4,2
365,1,0,1,0,2,3.230769,4.200000,4,4.250000,4,4,2
366,1,1,0,0,2,3.692308,4.200000,4.100000,3.500000,4,4,3
367,2,0,1,0,1,4.076923,4.100000,4.100000,4,4,4,2
368,2,0,1,0,1,4.076923,4.100000,4,4.250000,4,4,3
369,1,0,1,0,1,3.923077,4.100000,4.500000,4.250000,4,3,2
370,1,0,0,0,1,3.615385,4,2.100000,4.500000,4,4,3
371,1,0,1,0,1,3.461538,2.400000,3.900000,4,4,4,3
372,1,0,1,0,1,4.538462,3.900000,4.300000,3.250000,4,4,2
373,1,0,0,0,1,2.461538,2.300000,2.100000,2,4,4,3
374,1,0,1,0,2,3.538462,4.100000,3.900000,4,4,4,2
375,1,0,0,0,1,3.769231,4.300000,4,4.250000,4,4,3
376,1,0,0,0,1,2.538462,2.100000,3.500000,2,4,4,2
377,1,1,1,0,2,2.538462,2,2.300000,2.250000,3,4,2
378,1,0,1,0,2,1.846154,2.400000,3.800000,1.500000,4,4,3
379,1,0,1,0,1,2.769231,2.300000,2,3.500000,4,4,3
380,2,0,0,0,1,3.615385,3.800000,4.600000,4.250000,4,4,3
381,1,1,1,0,1,3.769231,2.300000,4.200000,1.500000,4,3,3
382,1,0,1,0,1,3.769231,4,4.100000,4.250000,4,4,3
383,2,1,1,0,1,2.615385,2,2.100000,2.500000,4,3,3
384,1,0,0,0,1,2.692308,2,2.300000,2,4,4,3
385,1,0,1,0,2,4.076923,3.900000,4.100000,4,3,4,2
386,2,0,1,0,2,4.153846,4.400000,4.500000,3.250000,3,4,2
387,2,0,1,0,2,4.153846,4.100000,4,4.250000,3,4,2
388,1,1,1,0,1,4.076923,4.300000,4.100000,4,4,4,2
389,1,1,1,0,2,3.923077,4.200000,3.900000,4.500000,3,3,3
390,1,0,1,0,1,3.461538,4.200000,3.900000,5,4,3,2
391,1,0,1,0,1,4.076923,2.300000,4.100000,4,4,4,2
392,1,0,1,0,1,4.230769,4.200000,4.100000,4.500000,4,3,3
393,1,1,1,0,2,3.923077,3.900000,3.700000,3.750000,3,3,3
394,1,0,1,0,1,3.538462,4.500000,4.400000,3.500000,4,3,3
395,1,0,1,0,2,3.923077,3.800000,4.600000,4,3,4,2
396,2,0,1,0,2,3.538462,4.600000,4.100000,4.500000,4,4,3
